lp__,treedepth__,stepsize__,alpha,beta,sigma_noise
0.879329,2,8.83221,13.4367,-1.22283,11.1635
1.19319,2,8.83221,-10.9931,0.207266,10.7108
0.860181,2,8.83221,8.90678,9.83572,7.62159
0.983441,2,8.83221,9.22319,3.8095,16.1145
1.51777,2,8.83221,-0.81677,-7.49148,9.70744
0.574143,2,8.83221,0.543962,15.6116,9.10065
0.587781,2,8.83221,-5.13338,-13.7505,6.54966
0.617298,2,8.83221,9.49789,12.0085,8.87302
0.858041,2,8.83221,-4.04699,-11.4465,5.84743
1.70029,2,8.83221,0.964748,4.39764,10.3097
1.70029,2,8.83221,0.964748,4.39764,10.3097
1.04936,2,8.83221,3.62601,-10.2945,14.2009
0.434315,2,8.83221,-8.35784,-10.2312,17.7012
0.434315,2,8.83221,-8.35784,-10.2312,17.7012
0.434315,2,8.83221,-8.35784,-10.2312,17.7012
0.776801,2,8.83221,9.89436,-8.06099,5.81342
-0.31188,2,8.83221,16.2804,12.3924,11.4951
0.779825,2,8.83221,-12.3664,-6.28613,7.64905
1.31289,1,8.83221,-8.19569,-2.63157,6.77039
-0.324739,2,8.83221,15.0247,-11.1025,4.60021
1.29407,2,8.83221,2.09968,9.53253,11.8428
1.29407,1,8.83221,2.09968,9.53253,11.8428
0.888953,2,8.83221,6.42203,-9.96235,5.81534
-0.969374,2,8.83221,-13.162,19.3105,8.04133
-1.0148,2,8.83221,6.42195,-16.9995,1.92484
0.161769,2,8.83221,-0.308578,-14.6226,3.66366
-1.62009,1,8.83221,-12.3949,-20.0933,3.40312
-0.258793,2,8.83221,-5.66757,13.3213,21.307
0.253177,1,8.83221,-11.7756,12.8891,8.44971
0.460772,2,8.83221,9.52759,13.2006,8.73814
1.18905,2,8.83221,-8.14622,5.6942,6.76553
0.634059,1,8.83221,-15.1529,1.89584,10.5051
1.1948,2,8.83221,6.36284,-0.327145,4.47159
1.23117,1,8.83221,3.33913,-1.89137,3.9929
0.0939407,2,8.83221,2.16354,-8.34765,1.61412
-0.506248,1,8.83221,-13.4327,-7.69539,2.03979
